Canada, Life tables (period 1x1), Total	Last modified: 15 Mar 2019;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1921           0      0.12226  0.11269  0.31  100000   11269   92174  5709930  57.10
  1921           1      0.01671  0.01657  0.50   88731    1470   87996  5617756  63.31
  1921           2      0.00797  0.00794  0.50   87260     693   86914  5529760  63.37
  1921           3      0.00578  0.00576  0.50   86568     499   86318  5442846  62.87
  1921           4      0.00465  0.00464  0.50   86069     400   85869  5356527  62.24
  1921           5      0.00363  0.00363  0.50   85669     311   85514  5270658  61.52
  1921           6      0.00324  0.00324  0.50   85359     277   85220  5185144  60.75
  1921           7      0.00301  0.00300  0.50   85082     255   84954  5099924  59.94
  1921           8      0.00254  0.00254  0.50   84827     215   84719  5014970  59.12
  1921           9      0.00231  0.00230  0.50   84611     195   84514  4930251  58.27
  1921          10      0.00203  0.00203  0.50   84416     171   84331  4845737  57.40
  1921          11      0.00213  0.00212  0.50   84245     179   84156  4761406  56.52
  1921          12      0.00207  0.00207  0.50   84066     174   83979  4677251  55.64
  1921          13      0.00209  0.00209  0.50   83892     175   83805  4593271  54.75
  1921          14      0.00216  0.00216  0.50   83717     181   83627  4509466  53.87
  1921          15      0.00246  0.00246  0.50   83536     206   83433  4425840  52.98
  1921          16      0.00283  0.00283  0.50   83331     236   83213  4342406  52.11
  1921          17      0.00317  0.00317  0.50   83095     263   82963  4259194  51.26
  1921          18      0.00345  0.00345  0.50   82832     285   82689  4176230  50.42
  1921          19      0.00368  0.00367  0.50   82546     303   82395  4093541  49.59
  1921          20      0.00379  0.00378  0.50   82243     311   82088  4011147  48.77
  1921          21      0.00399  0.00399  0.50   81932     327   81769  3929059  47.96
  1921          22      0.00401  0.00400  0.50   81605     326   81442  3847290  47.14
  1921          23      0.00436  0.00436  0.50   81279     354   81102  3765848  46.33
  1921          24      0.00414  0.00413  0.50   80925     334   80758  3684746  45.53
  1921          25      0.00410  0.00409  0.50   80591     329   80426  3603987  44.72
  1921          26      0.00428  0.00427  0.50   80262     343   80090  3523561  43.90
  1921          27      0.00444  0.00443  0.50   79919     354   79742  3443471  43.09
  1921          28      0.00458  0.00457  0.50   79565     363   79384  3363728  42.28
  1921          29      0.00425  0.00424  0.50   79202     336   79034  3284345  41.47
  1921          30      0.00452  0.00451  0.50   78866     355   78688  3205311  40.64
  1921          31      0.00394  0.00393  0.50   78511     308   78357  3126622  39.82
  1921          32      0.00445  0.00444  0.50   78202     348   78029  3048266  38.98
  1921          33      0.00434  0.00433  0.50   77855     337   77686  2970237  38.15
  1921          34      0.00451  0.00450  0.50   77518     349   77343  2892551  37.31
  1921          35      0.00535  0.00533  0.50   77169     412   76963  2815208  36.48
  1921          36      0.00513  0.00511  0.50   76757     392   76561  2738245  35.67
  1921          37      0.00495  0.00494  0.50   76365     377   76176  2661684  34.85
  1921          38      0.00607  0.00605  0.50   75988     460   75758  2585507  34.03
  1921          39      0.00528  0.00526  0.50   75528     398   75329  2509749  33.23
  1921          40      0.00642  0.00639  0.50   75131     480   74890  2434420  32.40
  1921          41      0.00535  0.00533  0.50   74650     398   74451  2359529  31.61
  1921          42      0.00691  0.00688  0.50   74252     511   73997  2285078  30.77
  1921          43      0.00608  0.00607  0.50   73741     447   73517  2211081  29.98
  1921          44      0.00618  0.00616  0.50   73294     452   73068  2137564  29.16
  1921          45      0.00778  0.00775  0.50   72842     564   72560  2064496  28.34
  1921          46      0.00700  0.00698  0.50   72278     505   72026  1991936  27.56
  1921          47      0.00717  0.00715  0.50   71774     513   71517  1919910  26.75
  1921          48      0.00829  0.00825  0.50   71261     588   70967  1848393  25.94
  1921          49      0.00819  0.00816  0.50   70673     576   70385  1777426  25.15
  1921          50      0.01022  0.01016  0.50   70096     712   69740  1707041  24.35
  1921          51      0.00843  0.00839  0.50   69384     582   69093  1637301  23.60
  1921          52      0.01172  0.01165  0.50   68802     801   68401  1568208  22.79
  1921          53      0.01065  0.01059  0.50   68000     720   67640  1499808  22.06
  1921          54      0.01184  0.01177  0.50   67280     792   66884  1432168  21.29
  1921          55      0.01291  0.01282  0.50   66488     853   66062  1365284  20.53
  1921          56      0.01394  0.01384  0.50   65635     908   65181  1299222  19.79
  1921          57      0.01383  0.01374  0.50   64727     889   64283  1234041  19.07
  1921          58      0.01741  0.01726  0.50   63838    1102   63287  1169758  18.32
  1921          59      0.01684  0.01669  0.50   62736    1047   62213  1106471  17.64
  1921          60      0.02110  0.02088  0.50   61689    1288   61045  1044258  16.93
  1921          61      0.01772  0.01757  0.50   60401    1061   59871   983213  16.28
  1921          62      0.02199  0.02176  0.50   59340    1291   58695   923342  15.56
  1921          63      0.02344  0.02317  0.50   58049    1345   57377   864648  14.90
  1921          64      0.02514  0.02483  0.50   56704    1408   56000   807271  14.24
  1921          65      0.03225  0.03174  0.50   55296    1755   54419   751270  13.59
  1921          66      0.03014  0.02969  0.50   53541    1590   52746   696851  13.02
  1921          67      0.03452  0.03393  0.50   51951    1763   51070   644105  12.40
