Chile, Life tables (period 1x1), Total	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1992           0      0.01505  0.01485  0.12  100000    1485   98691  7449278  74.49
  1992           1      0.00134  0.00134  0.50   98515     132   98449  7350586  74.61
  1992           2      0.00081  0.00080  0.50   98383      79   98343  7252137  73.71
  1992           3      0.00055  0.00055  0.50   98304      55   98277  7153794  72.77
  1992           4      0.00031  0.00031  0.50   98249      30   98234  7055517  71.81
  1992           5      0.00024  0.00024  0.50   98219      24   98207  6957283  70.83
  1992           6      0.00026  0.00026  0.50   98196      26   98183  6859076  69.85
  1992           7      0.00028  0.00028  0.50   98170      28   98156  6760893  68.87
  1992           8      0.00029  0.00029  0.50   98142      28   98128  6662737  67.89
  1992           9      0.00024  0.00024  0.50   98114      24   98102  6564609  66.91
  1992          10      0.00023  0.00023  0.50   98090      23   98079  6466507  65.92
  1992          11      0.00028  0.00028  0.50   98067      28   98054  6368428  64.94
  1992          12      0.00025  0.00025  0.50   98040      25   98027  6270374  63.96
  1992          13      0.00030  0.00030  0.50   98015      29   98000  6172347  62.97
  1992          14      0.00038  0.00038  0.50   97985      37   97967  6074347  61.99
  1992          15      0.00043  0.00043  0.50   97948      42   97927  5976380  61.02
  1992          16      0.00060  0.00060  0.50   97906      59   97876  5878453  60.04
  1992          17      0.00064  0.00064  0.50   97847      62   97816  5780577  59.08
  1992          18      0.00068  0.00068  0.50   97785      66   97751  5682761  58.12
  1992          19      0.00082  0.00082  0.50   97718      80   97678  5585010  57.15
  1992          20      0.00091  0.00090  0.50   97639      88   97594  5487331  56.20
  1992          21      0.00104  0.00104  0.50   97550     102   97499  5389737  55.25
  1992          22      0.00110  0.00110  0.50   97448     107   97395  5292238  54.31
  1992          23      0.00102  0.00102  0.50   97341      99   97292  5194843  53.37
  1992          24      0.00096  0.00096  0.50   97242      94   97195  5097551  52.42
  1992          25      0.00115  0.00115  0.50   97148     111   97093  5000356  51.47
  1992          26      0.00111  0.00111  0.50   97037     108   96983  4903263  50.53
  1992          27      0.00103  0.00103  0.50   96929     100   96879  4806280  49.59
  1992          28      0.00115  0.00115  0.50   96829     111   96774  4709400  48.64
  1992          29      0.00108  0.00108  0.50   96718     105   96666  4612627  47.69
  1992          30      0.00118  0.00118  0.50   96613     114   96556  4515961  46.74
  1992          31      0.00127  0.00127  0.50   96499     123   96438  4419405  45.80
  1992          32      0.00126  0.00125  0.50   96377     121   96316  4322967  44.85
