East Germany, Life tables (period 1x1), Total	Last modified: 17 Dec 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1956           0      0.04722  0.04551  0.20  100000    4551   96374  6877282  68.77
  1956           1      0.00394  0.00393  0.50   95449     375   95261  6780907  71.04
  1956           2      0.00191  0.00191  0.50   95074     182   94983  6685646  70.32
  1956           3      0.00113  0.00113  0.50   94892     107   94839  6590663  69.45
  1956           4      0.00092  0.00092  0.50   94785      87   94742  6495824  68.53
  1956           5      0.00077  0.00077  0.50   94698      73   94662  6401083  67.59
  1956           6      0.00058  0.00058  0.50   94625      55   94598  6306421  66.65
  1956           7      0.00050  0.00050  0.50   94570      48   94546  6211823  65.68
  1956           8      0.00052  0.00052  0.50   94523      49   94498  6117277  64.72
  1956           9      0.00051  0.00051  0.50   94474      48   94449  6022779  63.75
  1956          10      0.00042  0.00042  0.50   94425      40   94405  5928330  62.78
  1956          11      0.00052  0.00052  0.50   94385      49   94361  5833924  61.81
  1956          12      0.00045  0.00045  0.50   94336      43   94315  5739564  60.84
  1956          13      0.00050  0.00050  0.50   94293      47   94270  5645249  59.87
  1956          14      0.00051  0.00051  0.50   94246      48   94223  5550979  58.90
  1956          15      0.00064  0.00064  0.50   94199      60   94169  5456757  57.93
  1956          16      0.00072  0.00072  0.50   94139      67   94105  5362588  56.96
  1956          17      0.00078  0.00078  0.50   94071      74   94034  5268483  56.01
  1956          18      0.00108  0.00108  0.50   93998     101   93947  5174449  55.05
  1956          19      0.00110  0.00110  0.50   93896     104   93844  5080502  54.11
  1956          20      0.00116  0.00116  0.50   93792     109   93738  4986658  53.17
  1956          21      0.00123  0.00123  0.50   93683     115   93626  4892920  52.23
  1956          22      0.00116  0.00116  0.50   93568     108   93514  4799294  51.29
  1956          23      0.00144  0.00144  0.50   93460     134   93393  4705780  50.35
  1956          24      0.00136  0.00136  0.50   93326     127   93262  4612387  49.42
  1956          25      0.00133  0.00133  0.50   93198     124   93137  4519125  48.49
  1956          26      0.00142  0.00142  0.50   93075     132   93009  4425988  47.55
  1956          27      0.00123  0.00123  0.50   92943     114   92886  4332980  46.62
  1956          28      0.00131  0.00131  0.50   92829     121   92768  4240094  45.68
  1956          29      0.00134  0.00134  0.50   92707     124   92645  4147326  44.74
  1956          30      0.00124  0.00124  0.50   92583     114   92526  4054681  43.79
  1956          31      0.00142  0.00142  0.50   92469     131   92403  3962154  42.85
  1956          32      0.00155  0.00155  0.50   92338     143   92266  3869751  41.91
  1956          33      0.00163  0.00163  0.50   92195     150   92120  3777485  40.97
  1956          34      0.00173  0.00173  0.50   92045     159   91965  3685365  40.04
  1956          35      0.00194  0.00194  0.50   91886     178   91797  3593400  39.11
  1956          36      0.00209  0.00209  0.50   91708     191   91612  3501603  38.18
  1956          37      0.00181  0.00181  0.50   91516     165   91434  3409991  37.26
  1956          38      0.00205  0.00205  0.50   91351     187   91257  3318557  36.33
  1956          39      0.00220  0.00220  0.50   91164     200   91064  3227300  35.40
  1956          40      0.00245  0.00245  0.50   90964     223   90852  3136236  34.48
  1956          41      0.00302  0.00302  0.50   90741     274   90604  3045384  33.56
  1956          42      0.00277  0.00277  0.50   90467     250   90342  2954780  32.66
  1956          43      0.00324  0.00323  0.50   90217     291   90071  2864439  31.75
  1956          44      0.00328  0.00327  0.50   89925     294   89778  2774368  30.85
  1956          45      0.00354  0.00353  0.50   89631     317   89473  2684589  29.95
  1956          46      0.00399  0.00398  0.50   89314     355   89137  2595117  29.06
  1956          47      0.00430  0.00430  0.50   88959     382   88768  2505980  28.17
  1956          48      0.00468  0.00467  0.50   88577     414   88370  2417212  27.29
  1956          49      0.00511  0.00510  0.50   88163     449   87939  2328842  26.42
  1956          50      0.00577  0.00576  0.50   87714     505   87462  2240903  25.55
