Germany, Life tables (period 1x1), Total	Last modified: 17 Dec 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1990           0      0.00712  0.00708  0.13  100000     708   99388  7534910  75.35
  1990           1      0.00065  0.00065  0.50   99292      64   99260  7435523  74.89
  1990           2      0.00041  0.00041  0.50   99228      41   99208  7336262  73.93
  1990           3      0.00037  0.00037  0.50   99188      37   99169  7237054  72.96
  1990           4      0.00026  0.00026  0.50   99151      26   99138  7137885  71.99
  1990           5      0.00025  0.00025  0.50   99125      25   99113  7038747  71.01
  1990           6      0.00022  0.00022  0.50   99100      22   99089  6939635  70.03
  1990           7      0.00024  0.00024  0.50   99079      24   99066  6840545  69.04
  1990           8      0.00022  0.00022  0.50   99054      22   99043  6741479  68.06
  1990           9      0.00016  0.00016  0.50   99032      16   99024  6642436  67.07
  1990          10      0.00018  0.00018  0.50   99016      17   99007  6543412  66.08
  1990          11      0.00019  0.00019  0.50   98998      19   98989  6444405  65.10
  1990          12      0.00016  0.00016  0.50   98980      16   98972  6345415  64.11
  1990          13      0.00022  0.00022  0.50   98964      22   98953  6246444  63.12
  1990          14      0.00029  0.00029  0.50   98942      29   98927  6147491  62.13
  1990          15      0.00032  0.00032  0.50   98913      32   98897  6048563  61.15
  1990          16      0.00042  0.00042  0.50   98881      42   98860  5949666  60.17
  1990          17      0.00050  0.00050  0.50   98839      50   98815  5850806  59.20
  1990          18      0.00076  0.00075  0.50   98790      75   98753  5751992  58.22
  1990          19      0.00078  0.00078  0.50   98715      77   98677  5653239  57.27
  1990          20      0.00077  0.00077  0.50   98638      75   98600  5554562  56.31
  1990          21      0.00080  0.00080  0.50   98563      79   98523  5455962  55.36
  1990          22      0.00076  0.00076  0.50   98484      75   98446  5357439  54.40
  1990          23      0.00077  0.00077  0.50   98409      76   98371  5258992  53.44
  1990          24      0.00070  0.00070  0.50   98333      69   98299  5160621  52.48
  1990          25      0.00078  0.00078  0.50   98264      77   98226  5062323  51.52
  1990          26      0.00074  0.00074  0.50   98187      73   98151  4964097  50.56
  1990          27      0.00076  0.00076  0.50   98115      74   98077  4865946  49.59
  1990          28      0.00078  0.00078  0.50   98040      77   98002  4767869  48.63
  1990          29      0.00091  0.00091  0.50   97963      89   97919  4669867  47.67
  1990          30      0.00096  0.00096  0.50   97874      94   97827  4571948  46.71
  1990          31      0.00094  0.00094  0.50   97781      91   97735  4474120  45.76
  1990          32      0.00105  0.00105  0.50   97689     102   97638  4376385  44.80
  1990          33      0.00115  0.00114  0.50   97587     112   97531  4278748  43.85
  1990          34      0.00123  0.00123  0.50   97475     120   97415  4181217  42.90
  1990          35      0.00133  0.00133  0.50   97355     129   97291  4083802  41.95
  1990          36      0.00140  0.00140  0.50   97226     136   97158  3986511  41.00
  1990          37      0.00158  0.00158  0.50   97090     153   97013  3889354  40.06
  1990          38      0.00162  0.00162  0.50   96937     157   96858  3792340  39.12
  1990          39      0.00178  0.00178  0.50   96779     172   96693  3695482  38.18
  1990          40      0.00191  0.00191  0.50   96607     185   96515  3598789  37.25
  1990          41      0.00196  0.00196  0.50   96422     189   96328  3502274  36.32
  1990          42      0.00224  0.00224  0.50   96234     216   96126  3405946  35.39
  1990          43      0.00240  0.00240  0.50   96018     230   95903  3309820  34.47
  1990          44      0.00256  0.00256  0.50   95788     245   95665  3213917  33.55
  1990          45      0.00302  0.00301  0.50   95543     288   95399  3118252  32.64
  1990          46      0.00336  0.00335  0.50   95255     319   95095  3022853  31.73
  1990          47      0.00349  0.00348  0.50   94935     330   94770  2927758  30.84
  1990          48      0.00391  0.00391  0.50   94605     370   94420  2832988  29.95
  1990          49      0.00409  0.00408  0.50   94235     384   94043  2738568  29.06
  1990          50      0.00472  0.00471  0.50   93851     442   93630  2644525  28.18
  1990          51      0.00500  0.00498  0.50   93409     465   93177  2550895  27.31
  1990          52      0.00540  0.00539  0.50   92944     501   92693  2457718  26.44
  1990          53      0.00617  0.00615  0.50   92443     569   92159  2365025  25.58
  1990          54      0.00675  0.00673  0.50   91874     618   91565  2272866  24.74
  1990          55      0.00781  0.00778  0.50   91256     710   90901  2181301  23.90
  1990          56      0.00813  0.00809  0.50   90547     733   90180  2090400  23.09
  1990          57      0.00909  0.00905  0.50   89814     813   89407  2000219  22.27
  1990          58      0.00991  0.00986  0.50   89001     878   88562  1910812  21.47
  1990          59      0.01108  0.01102  0.50   88123     971   87637  1822250  20.68
  1990          60      0.01218  0.01210  0.50   87152    1055   86625  1734613  19.90
  1990          61      0.01324  0.01315  0.50   86097    1132   85531  1647988  19.14
  1990          62      0.01393  0.01383  0.50   84965    1175   84377  1562457  18.39
  1990          63      0.01496  0.01485  0.50   83789    1244   83167  1478080  17.64
  1990          64      0.01606  0.01594  0.50   82546    1315   81888  1394913  16.90
  1990          65      0.01747  0.01732  0.50   81230    1407   80527  1313025  16.16
  1990          66      0.01904  0.01886  0.50   79823    1505   79070  1232498  15.44
  1990          67      0.02069  0.02048  0.50   78318    1604   77516  1153428  14.73
  1990          68      0.02329  0.02302  0.50   76714    1766   75831  1075912  14.03
  1990          69      0.02532  0.02501  0.50   74948    1874   74010  1000082  13.34
  1990          70      0.03123  0.03075  0.50   73073    2247   71950   926071  12.67
  1990          71      0.02821  0.02781  0.50   70826    1970   69841   854121  12.06
  1990          72      0.03351  0.03296  0.50   68856    2269   67722   784280  11.39
  1990          73      0.03769  0.03700  0.50   66587    2463   65355   716558  10.76
  1990          74      0.03925  0.03849  0.50   64124    2468   62889   651203  10.16
  1990          75      0.04779  0.04668  0.50   61655    2878   60216   588314   9.54
  1990          76      0.05130  0.05002  0.50   58777    2940   57307   528097   8.98
  1990          77      0.05819  0.05655  0.50   55837    3157   54258   470790   8.43
  1990          78      0.06513  0.06308  0.50   52680    3323   51018   416532   7.91
  1990          79      0.07211  0.06960  0.50   49357    3435   47639   365514   7.41
  1990          80      0.08174  0.07853  0.50   45922    3606   44118   317874   6.92
  1990          81      0.09100  0.08704  0.50   42315    3683   40474   273756   6.47
  1990          82      0.10149  0.09659  0.50   38632    3731   36766   233282   6.04
  1990          83      0.11373  0.10761  0.50   34901    3756   33023   196516   5.63
  1990          84      0.12663  0.11909  0.50   31145    3709   29291   163493   5.25
  1990          85      0.14113  0.13183  0.50   27436    3617   25628   134202   4.89
  1990          86      0.15762  0.14610  0.50   23819    3480   22079   108575   4.56
