Croatia, Life tables (period 1x1), Total	Last modified: 08 Apr 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  2001           0      0.00762  0.00757  0.13  100000     757   99345  7456248  74.56
  2001           1      0.00051  0.00051  0.50   99243      50   99218  7356903  74.13
  2001           2      0.00033  0.00033  0.50   99193      33   99177  7257685  73.17
  2001           3      0.00029  0.00029  0.50   99160      29   99146  7158508  72.19
  2001           4      0.00022  0.00022  0.50   99131      22   99120  7059362  71.21
  2001           5      0.00016  0.00016  0.50   99109      16   99101  6960242  70.23
  2001           6      0.00015  0.00015  0.50   99093      15   99086  6861141  69.24
  2001           7      0.00013  0.00013  0.50   99078      13   99072  6762055  68.25
  2001           8      0.00021  0.00021  0.50   99066      21   99055  6662983  67.26
  2001           9      0.00026  0.00026  0.50   99045      26   99032  6563928  66.27
  2001          10      0.00012  0.00012  0.50   99019      12   99014  6464896  65.29
  2001          11      0.00012  0.00012  0.50   99008      12   99002  6365882  64.30
  2001          12      0.00008  0.00008  0.50   98996       8   98992  6266880  63.30
  2001          13      0.00017  0.00017  0.50   98988      17   98979  6167889  62.31
  2001          14      0.00037  0.00037  0.50   98971      36   98953  6068909  61.32
  2001          15      0.00026  0.00026  0.50   98934      26   98921  5969957  60.34
  2001          16      0.00045  0.00045  0.50   98908      44   98886  5871035  59.36
  2001          17      0.00060  0.00060  0.50   98864      60   98834  5772149  58.38
  2001          18      0.00073  0.00073  0.50   98804      72   98768  5673315  57.42
  2001          19      0.00078  0.00078  0.50   98732      77   98694  5574547  56.46
  2001          20      0.00066  0.00066  0.50   98655      65   98623  5475853  55.50
  2001          21      0.00093  0.00093  0.50   98590      91   98544  5377231  54.54
  2001          22      0.00064  0.00064  0.50   98498      63   98467  5278687  53.59
  2001          23      0.00098  0.00098  0.50   98435      96   98387  5180220  52.63
  2001          24      0.00091  0.00091  0.50   98339      89   98294  5081833  51.68
  2001          25      0.00091  0.00091  0.50   98250      89   98205  4983538  50.72
  2001          26      0.00065  0.00065  0.50   98161      63   98129  4885333  49.77
  2001          27      0.00074  0.00074  0.50   98097      73   98061  4787204  48.80
  2001          28      0.00072  0.00072  0.50   98025      70   97989  4689143  47.84
  2001          29      0.00062  0.00062  0.50   97954      61   97924  4591154  46.87
  2001          30      0.00070  0.00070  0.50   97893      69   97859  4493230  45.90
  2001          31      0.00089  0.00089  0.50   97824      87   97781  4395371  44.93
  2001          32      0.00098  0.00098  0.50   97737      96   97690  4297590  43.97
  2001          33      0.00100  0.00100  0.50   97642      98   97593  4199901  43.01
  2001          34      0.00091  0.00091  0.50   97544      89   97500  4102308  42.06
  2001          35      0.00144  0.00144  0.50   97455     140   97385  4004808  41.09
  2001          36      0.00128  0.00128  0.50   97315     124   97253  3907423  40.15
  2001          37      0.00128  0.00128  0.50   97191     124   97129  3810170  39.20
  2001          38      0.00146  0.00146  0.50   97067     142   96996  3713041  38.25
  2001          39      0.00177  0.00177  0.50   96925     172   96839  3616045  37.31
  2001          40      0.00195  0.00195  0.50   96753     189   96659  3519206  36.37
  2001          41      0.00219  0.00219  0.50   96565     211   96459  3422547  35.44
  2001          42      0.00237  0.00237  0.50   96353     228   96239  3326088  34.52
  2001          43      0.00280  0.00280  0.50   96125     269   95990  3229849  33.60
  2001          44      0.00305  0.00305  0.50   95856     292   95710  3133859  32.69
  2001          45      0.00329  0.00329  0.50   95563     314   95406  3038150  31.79
  2001          46      0.00383  0.00382  0.50   95249     364   95067  2942743  30.90
  2001          47      0.00426  0.00425  0.50   94885     403   94684  2847676  30.01
  2001          48      0.00409  0.00408  0.50   94482     385   94290  2752992  29.14
  2001          49      0.00500  0.00499  0.50   94097     469   93862  2658702  28.25
  2001          50      0.00520  0.00519  0.50   93628     486   93385  2564840  27.39
  2001          51      0.00609  0.00607  0.50   93142     565   92859  2471455  26.53
  2001          52      0.00676  0.00674  0.50   92577     624   92265  2378596  25.69
  2001          53      0.00737  0.00734  0.50   91953     675   91615  2286331  24.86
  2001          54      0.00825  0.00821  0.50   91278     750   90903  2194716  24.04
  2001          55      0.00753  0.00750  0.50   90528     679   90188  2103814  23.24
  2001          56      0.00913  0.00909  0.50   89848     816   89440  2013625  22.41
  2001          57      0.01036  0.01031  0.50   89032     917   88573  1924185  21.61
  2001          58      0.01047  0.01041  0.50   88115     918   87656  1835612  20.83
  2001          59      0.01048  0.01042  0.50   87197     909   86743  1747956  20.05
  2001          60      0.01261  0.01253  0.50   86288    1081   85748  1661214  19.25
  2001          61      0.01384  0.01375  0.50   85207    1171   84621  1575466  18.49
  2001          62      0.01509  0.01498  0.50   84036    1259   83406  1490844  17.74
  2001          63      0.01611  0.01598  0.50   82777    1323   82116  1407438  17.00
  2001          64      0.01830  0.01814  0.50   81454    1477   80715  1325322  16.27
  2001          65      0.01913  0.01894  0.50   79977    1515   79219  1244607  15.56
