Ireland, Life tables (period 1x1), Total	Last modified: 01 Oct 2019;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1950           0      0.04598  0.04435  0.20  100000    4435   96447  6557258  65.57
  1950           1      0.00389  0.00389  0.50   95565     371   95380  6460811  67.61
  1950           2      0.00214  0.00214  0.50   95194     203   95092  6365431  66.87
  1950           3      0.00180  0.00180  0.50   94990     171   94905  6270339  66.01
  1950           4      0.00154  0.00154  0.50   94819     146   94747  6175434  65.13
  1950           5      0.00119  0.00118  0.50   94674     112   94618  6080687  64.23
  1950           6      0.00071  0.00071  0.50   94562      68   94528  5986069  63.30
  1950           7      0.00105  0.00105  0.50   94494      99   94444  5891542  62.35
  1950           8      0.00093  0.00093  0.50   94395      87   94351  5797097  61.41
  1950           9      0.00055  0.00055  0.50   94307      52   94281  5702747  60.47
  1950          10      0.00076  0.00076  0.50   94255      72   94219  5608465  59.50
  1950          11      0.00061  0.00061  0.50   94183      57   94154  5514247  58.55
  1950          12      0.00076  0.00076  0.50   94126      71   94090  5420092  57.58
  1950          13      0.00079  0.00079  0.50   94055      74   94017  5326002  56.63
  1950          14      0.00072  0.00072  0.50   93980      67   93946  5231985  55.67
  1950          15      0.00100  0.00100  0.50   93913      94   93866  5138038  54.71
  1950          16      0.00116  0.00116  0.50   93819     108   93765  5044173  53.76
  1950          17      0.00133  0.00132  0.50   93710     124   93648  4950408  52.83
  1950          18      0.00164  0.00164  0.50   93586     153   93510  4856760  51.90
  1950          19      0.00187  0.00186  0.50   93433     174   93346  4763250  50.98
  1950          20      0.00226  0.00226  0.50   93259     211   93154  4669904  50.07
  1950          21      0.00228  0.00228  0.50   93048     212   92942  4576750  49.19
  1950          22      0.00194  0.00194  0.50   92837     180   92746  4483808  48.30
  1950          23      0.00307  0.00307  0.50   92656     284   92514  4391061  47.39
  1950          24      0.00320  0.00320  0.50   92372     295   92224  4298547  46.54
  1950          25      0.00248  0.00248  0.50   92077     228   91963  4206323  45.68
  1950          26      0.00240  0.00240  0.50   91849     220   91739  4114360  44.80
  1950          27      0.00286  0.00286  0.50   91629     262   91498  4022621  43.90
  1950          28      0.00286  0.00285  0.50   91367     261   91236  3931124  43.03
  1950          29      0.00281  0.00280  0.50   91106     256   90978  3839888  42.15
  1950          30      0.00308  0.00308  0.50   90850     280   90711  3748909  41.26
  1950          31      0.00254  0.00254  0.50   90571     230   90456  3658199  40.39
  1950          32      0.00380  0.00379  0.50   90341     343   90169  3567743  39.49
  1950          33      0.00304  0.00304  0.50   89998     273   89861  3477573  38.64
  1950          34      0.00284  0.00283  0.50   89725     254   89598  3387712  37.76
  1950          35      0.00398  0.00397  0.50   89471     355   89293  3298114  36.86
  1950          36      0.00313  0.00313  0.50   89115     279   88976  3208821  36.01
  1950          37      0.00298  0.00297  0.50   88836     264   88704  3119846  35.12
  1950          38      0.00410  0.00409  0.50   88572     363   88391  3031141  34.22
  1950          39      0.00320  0.00319  0.50   88210     282   88069  2942750  33.36
  1950          40      0.00547  0.00546  0.50   87928     480   87688  2854681  32.47
  1950          41      0.00306  0.00306  0.50   87448     267   87315  2766993  31.64
  1950          42      0.00516  0.00515  0.50   87181     449   86957  2679678  30.74
  1950          43      0.00452  0.00451  0.50   86733     391   86537  2592722  29.89
  1950          44      0.00477  0.00476  0.50   86342     411   86136  2506184  29.03
  1950          45      0.00578  0.00576  0.50   85931     495   85683  2420048  28.16
  1950          46      0.00511  0.00510  0.50   85436     435   85218  2334365  27.32
  1950          47      0.00554  0.00553  0.50   85001     470   84766  2249146  26.46
  1950          48      0.00724  0.00722  0.50   84531     610   84226  2164381  25.60
  1950          49      0.00626  0.00624  0.50   83921     524   83659  2080155  24.79
  1950          50      0.01087  0.01081  0.50   83397     902   82946  1996496  23.94
  1950          51      0.00647  0.00644  0.50   82495     532   82229  1913550  23.20
  1950          52      0.01046  0.01040  0.50   81963     853   81537  1831321  22.34
  1950          53      0.01089  0.01083  0.50   81111     879   80671  1749784  21.57
  1950          54      0.01107  0.01101  0.50   80232     883   79790  1669113  20.80
  1950          55      0.01213  0.01206  0.50   79349     957   78870  1589322  20.03
  1950          56      0.01522  0.01510  0.50   78392    1184   77800  1510452  19.27
  1950          57      0.01423  0.01413  0.50   77208    1091   76662  1432652  18.56
  1950          58      0.01677  0.01663  0.50   76117    1266   75484  1355990  17.81
  1950          59      0.01491  0.01479  0.50   74851    1107   74297  1280506  17.11
  1950          60      0.02551  0.02519  0.50   73744    1858   72815  1206209  16.36
  1950          61      0.01555  0.01543  0.50   71886    1109   71331  1133394  15.77
  1950          62      0.02280  0.02255  0.50   70777    1596   69979  1062063  15.01
  1950          63      0.02251  0.02226  0.50   69181    1540   68411   992084  14.34
  1950          64      0.02669  0.02634  0.50   67641    1781   66750   923673  13.66
  1950          65      0.03473  0.03414  0.50   65860    2248   64735   856923  13.01
  1950          66      0.02915  0.02873  0.50   63611    1828   62697   792187  12.45
  1950          67      0.02913  0.02871  0.50   61784    1774   60897   729490  11.81
  1950          68      0.03905  0.03830  0.50   60010    2298   58861   668593  11.14
  1950          69      0.03787  0.03716  0.50   57712    2145   56639   609733  10.57
  1950          70      0.05273  0.05137  0.50   55567    2855   54140   553093   9.95
  1950          71      0.04393  0.04298  0.50   52712    2266   51579   498954   9.47
  1950          72      0.06007  0.05832  0.50   50446    2942   48975   447375   8.87
  1950          73      0.06497  0.06292  0.50   47504    2989   46010   398399   8.39
  1950          74      0.07079  0.06837  0.50   44515    3044   42993   352389   7.92
  1950          75      0.08426  0.08086  0.50   41472    3353   39795   309396   7.46
  1950          76      0.08933  0.08551  0.50   38118    3259   36489   269601   7.07
  1950          77      0.09462  0.09034  0.50   34859    3149   33284   233112   6.69
  1950          78      0.11348  0.10738  0.50   31710    3405   30007   199828   6.30
  1950          79      0.09892  0.09425  0.50   28305    2668   26971   169821   6.00
  1950          80      0.14844  0.13818  0.50   25637    3543   23865   142850   5.57
  1950          81      0.10709  0.10164  0.50   22094    2246   20971   118985   5.39
  1950          82      0.15743  0.14594  0.50   19848    2897   18400    98014   4.94
  1950          83      0.14601  0.13608  0.50   16952    2307   15798    79613   4.70
  1950          84      0.19480  0.17751  0.50   14645    2600   13345    63815   4.36
