Poland, Life tables (period 1x1), Total	Last modified: 03 Apr 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1958           0      0.07489  0.07116  0.30  100000    7116   95020  6591932  65.92
  1958           1      0.00489  0.00488  0.50   92884     453   92658  6496913  69.95
  1958           2      0.00189  0.00189  0.50   92431     174   92344  6404255  69.29
  1958           3      0.00133  0.00133  0.50   92257     123   92196  6311910  68.42
  1958           4      0.00097  0.00096  0.50   92135      89   92090  6219715  67.51
  1958           5      0.00083  0.00083  0.50   92046      76   92008  6127624  66.57
  1958           6      0.00073  0.00073  0.50   91969      67   91936  6035617  65.63
  1958           7      0.00067  0.00067  0.50   91903      61   91872  5943681  64.67
  1958           8      0.00056  0.00056  0.50   91841      52   91816  5851809  63.72
  1958           9      0.00053  0.00053  0.50   91790      48   91766  5759993  62.75
  1958          10      0.00053  0.00053  0.50   91741      48   91717  5668228  61.78
  1958          11      0.00049  0.00049  0.50   91693      45   91671  5576510  60.82
  1958          12      0.00053  0.00053  0.50   91648      49   91624  5484840  59.85
  1958          13      0.00056  0.00056  0.50   91599      51   91574  5393216  58.88
  1958          14      0.00065  0.00065  0.50   91548      59   91518  5301642  57.91
  1958          15      0.00072  0.00072  0.50   91488      66   91456  5210124  56.95
  1958          16      0.00082  0.00082  0.50   91423      75   91385  5118669  55.99
  1958          17      0.00088  0.00088  0.50   91348      81   91308  5027283  55.03
  1958          18      0.00113  0.00113  0.50   91267     103   91216  4935975  54.08
  1958          19      0.00131  0.00130  0.50   91165     119   91105  4844759  53.14
  1958          20      0.00151  0.00151  0.50   91046     137   90977  4753654  52.21
  1958          21      0.00151  0.00151  0.50   90909     138   90840  4662677  51.29
  1958          22      0.00144  0.00144  0.50   90771     131   90706  4571837  50.37
  1958          23      0.00144  0.00144  0.50   90640     131   90575  4481132  49.44
  1958          24      0.00164  0.00164  0.50   90509     148   90435  4390557  48.51
  1958          25      0.00165  0.00165  0.50   90361     149   90287  4300121  47.59
  1958          26      0.00163  0.00163  0.50   90212     147   90138  4209835  46.67
  1958          27      0.00165  0.00165  0.50   90065     149   89990  4119696  45.74
  1958          28      0.00172  0.00172  0.50   89916     155   89839  4029706  44.82
  1958          29      0.00188  0.00187  0.50   89761     168   89677  3939867  43.89
  1958          30      0.00199  0.00199  0.50   89593     178   89504  3850190  42.97
  1958          31      0.00192  0.00192  0.50   89415     172   89329  3760686  42.06
  1958          32      0.00195  0.00195  0.50   89243     174   89156  3671357  41.14
  1958          33      0.00206  0.00206  0.50   89069     183   88977  3582202  40.22
  1958          34      0.00230  0.00230  0.50   88886     204   88784  3493224  39.30
  1958          35      0.00227  0.00227  0.50   88681     201   88581  3404441  38.39
  1958          36      0.00230  0.00230  0.50   88480     204   88378  3315860  37.48
  1958          37      0.00237  0.00237  0.50   88277     209   88172  3227481  36.56
  1958          38      0.00274  0.00274  0.50   88068     241   87947  3139309  35.65
  1958          39      0.00258  0.00258  0.50   87826     226   87713  3051362  34.74
  1958          40      0.00300  0.00300  0.50   87600     262   87469  2963649  33.83
  1958          41      0.00297  0.00297  0.50   87338     259   87208  2876180  32.93
  1958          42      0.00337  0.00337  0.50   87079     293   86932  2788971  32.03
  1958          43      0.00381  0.00381  0.50   86786     330   86621  2702039  31.13
  1958          44      0.00390  0.00389  0.50   86455     337   86287  2615418  30.25
  1958          45      0.00389  0.00389  0.50   86119     335   85951  2529132  29.37
  1958          46      0.00457  0.00456  0.50   85784     391   85589  2443180  28.48
  1958          47      0.00489  0.00488  0.50   85393     417   85185  2357592  27.61
  1958          48      0.00544  0.00543  0.50   84976     461   84746  2272407  26.74
  1958          49      0.00625  0.00623  0.50   84515     527   84252  2187661  25.88
  1958          50      0.00618  0.00616  0.50   83989     518   83730  2103409  25.04
  1958          51      0.00708  0.00705  0.50   83471     589   83177  2019680  24.20
  1958          52      0.00764  0.00761  0.50   82882     631   82567  1936503  23.36
  1958          53      0.00860  0.00856  0.50   82252     704   81900  1853936  22.54
  1958          54      0.00943  0.00939  0.50   81548     765   81165  1772036  21.73
  1958          55      0.00992  0.00987  0.50   80782     797   80383  1690871  20.93
  1958          56      0.01148  0.01142  0.50   79985     913   79528  1610488  20.13
  1958          57      0.01196  0.01189  0.50   79072     940   78602  1530960  19.36
  1958          58      0.01385  0.01376  0.50   78132    1075   77594  1452358  18.59
  1958          59      0.01521  0.01509  0.50   77057    1163   76475  1374764  17.84
  1958          60      0.01730  0.01715  0.50   75894    1302   75243  1298289  17.11
  1958          61      0.01818  0.01802  0.50   74592    1344   73920  1223046  16.40
  1958          62      0.02042  0.02021  0.50   73248    1481   72508  1149126  15.69
  1958          63      0.02126  0.02104  0.50   71767    1510   71012  1076619  15.00
  1958          64      0.02464  0.02434  0.50   70258    1710   69402  1005606  14.31
  1958          65      0.02548  0.02515  0.50   68547    1724   67685   936204  13.66
  1958          66      0.02937  0.02895  0.50   66823    1934   65856   868519  13.00
  1958          67      0.03234  0.03183  0.50   64888    2065   63856   802663  12.37
  1958          68      0.03539  0.03478  0.50   62823    2185   61731   738807  11.76
  1958          69      0.03876  0.03803  0.50   60638    2306   59485   677076  11.17
  1958          70      0.04159  0.04074  0.50   58333    2376   57144   617591  10.59
  1958          71      0.04883  0.04766  0.50   55956    2667   54623   560446  10.02
  1958          72      0.05272  0.05137  0.50   53289    2737   51920   505824   9.49
  1958          73      0.05607  0.05454  0.50   50552    2757   49173   453903   8.98
  1958          74      0.06382  0.06185  0.50   47795    2956   46317   404730   8.47
  1958          75      0.06836  0.06610  0.50   44839    2964   43357   358413   7.99
