Slovenia, Life tables (period 1x1), Total	Last modified: 06 Dec 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1983           0      0.01350  0.01334  0.12  100000    1334   98828  7086393  70.86
  1983           1      0.00130  0.00130  0.50   98666     128   98602  6987565  70.82
  1983           2      0.00061  0.00061  0.50   98538      60   98508  6888963  69.91
  1983           3      0.00063  0.00063  0.50   98478      62   98447  6790455  68.95
  1983           4      0.00046  0.00046  0.50   98416      45   98394  6692008  68.00
  1983           5      0.00013  0.00013  0.50   98371      13   98364  6593614  67.03
  1983           6      0.00030  0.00030  0.50   98358      29   98343  6495250  66.04
  1983           7      0.00040  0.00040  0.50   98328      39   98309  6396907  65.06
  1983           8      0.00038  0.00038  0.50   98289      37   98271  6298598  64.08
  1983           9      0.00017  0.00017  0.50   98252      17   98244  6200327  63.11
  1983          10      0.00014  0.00014  0.50   98236      14   98229  6102083  62.12
  1983          11      0.00014  0.00014  0.50   98222      14   98215  6003854  61.13
  1983          12      0.00011  0.00011  0.50   98208      11   98203  5905639  60.13
  1983          13      0.00022  0.00022  0.50   98198      21   98187  5807436  59.14
  1983          14      0.00036  0.00036  0.50   98176      35   98159  5709249  58.15
  1983          15      0.00035  0.00035  0.50   98141      35   98124  5611090  57.17
  1983          16      0.00051  0.00051  0.50   98106      50   98081  5512967  56.19
  1983          17      0.00090  0.00090  0.50   98056      88   98012  5414886  55.22
  1983          18      0.00089  0.00089  0.50   97968      87   97924  5316873  54.27
  1983          19      0.00090  0.00090  0.50   97881      88   97837  5218949  53.32
  1983          20      0.00106  0.00106  0.50   97793     104   97741  5121112  52.37
  1983          21      0.00111  0.00111  0.50   97690     108   97635  5023371  51.42
  1983          22      0.00111  0.00111  0.50   97581     108   97527  4925735  50.48
  1983          23      0.00097  0.00097  0.50   97473      95   97426  4828208  49.53
  1983          24      0.00073  0.00073  0.50   97378      71   97343  4730783  48.58
  1983          25      0.00133  0.00133  0.50   97307     129   97243  4633440  47.62
  1983          26      0.00108  0.00108  0.50   97178     105   97125  4536197  46.68
  1983          27      0.00127  0.00127  0.50   97073     124   97011  4439072  45.73
  1983          28      0.00106  0.00106  0.50   96949     103   96898  4342061  44.79
  1983          29      0.00154  0.00153  0.50   96846     149   96772  4245163  43.83
  1983          30      0.00126  0.00125  0.50   96698     121   96637  4148391  42.90
