Taiwan, Life tables (period 1x1), Total	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1970           0      0.01675  0.01650  0.12  100000    1650   98540  6864677  68.65
  1970           1      0.00478  0.00477  0.50   98350     469   98115  6766137  68.80
  1970           2      0.00327  0.00326  0.50   97881     319   97721  6668022  68.12
  1970           3      0.00205  0.00205  0.50   97561     200   97461  6570301  67.35
  1970           4      0.00128  0.00128  0.50   97361     125   97299  6472840  66.48
  1970           5      0.00093  0.00093  0.50   97236      91   97191  6375542  65.57
  1970           6      0.00070  0.00070  0.50   97146      68   97112  6278351  64.63
  1970           7      0.00054  0.00054  0.50   97078      52   97051  6181239  63.67
  1970           8      0.00044  0.00044  0.50   97025      43   97004  6084188  62.71
  1970           9      0.00040  0.00040  0.50   96982      39   96963  5987184  61.73
  1970          10      0.00041  0.00041  0.50   96944      39   96924  5890221  60.76
  1970          11      0.00044  0.00044  0.50   96904      43   96883  5793297  59.78
  1970          12      0.00051  0.00051  0.50   96861      50   96836  5696414  58.81
  1970          13      0.00059  0.00059  0.50   96812      57   96783  5599577  57.84
  1970          14      0.00068  0.00068  0.50   96754      66   96721  5502795  56.87
  1970          15      0.00082  0.00082  0.50   96688      79   96649  5406073  55.91
  1970          16      0.00095  0.00095  0.50   96609      91   96564  5309424  54.96
  1970          17      0.00103  0.00103  0.50   96518      99   96469  5212861  54.01
  1970          18      0.00105  0.00105  0.50   96419     101   96369  5116392  53.06
  1970          19      0.00111  0.00110  0.50   96318     106   96265  5020023  52.12
  1970          20      0.00120  0.00120  0.50   96212     115   96154  4923759  51.18
  1970          21      0.00128  0.00127  0.50   96096     123   96035  4827605  50.24
  1970          22      0.00139  0.00139  0.50   95974     133   95907  4731569  49.30
  1970          23      0.00157  0.00157  0.50   95840     151   95765  4635662  48.37
  1970          24      0.00178  0.00178  0.50   95690     171   95605  4539897  47.44
  1970          25      0.00170  0.00170  0.50   95519     162   95438  4444292  46.53
  1970          26      0.00156  0.00156  0.50   95357     149   95282  4348854  45.61
  1970          27      0.00158  0.00158  0.50   95208     151   95133  4253572  44.68
